AppName,Category,Rating,Installs,Size,Price,LastUpdated
App_001,GAME,NaN,"100,000+",14M,$4.99,"July 13, 2024"
App_002,EDUCATION,,"500,000+",23M,$2.49,"June 19, 2024"
App_003,TOOLS,NaN,"1,000,000+",Varies with device,$4.99,"May 25, 2024"
App_004,GAME,NaN,"1,000,000+",650k,$2.49,"July 03, 2024"
App_005,EDUCATION,,"5,000,000+",1.2G,Free,"November 27, 2024"
App_006,PRODUCTIVITY,NaN,"1,000,000+",14M,Free,"April 10, 2025"
App_007,PRODUCTIVITY,NaN,"1,000+",Varies with device,$0.99,"May 06, 2024"
App_008,GAME,,"1,000+",14M,Free,"June 20, 2025"
App_009,TOOLS,NaN,"100,000+",23M,Free,"June 12, 2024"
App_010,FINANCE,3.1,"1,000,000+",1.2G,$2.49,"August 02, 2025"
App_011,PRODUCTIVITY,3.3,"5,000,000+",650k,Free,"February 22, 2024"
App_012,FINANCE,,"1,000,000+",Varies with device,$0.99,"July 04, 2024"
App_013,GAME,,"1,000+",8.5M,Free,"April 14, 2025"
App_014,EDUCATION,NaN,"1,000,000+",23M,$4.99,"August 31, 2024"
App_015,EDUCATION,,"10,000+",1.2G,Free,"March 22, 2024"
App_016,FINANCE,NaN,50+,1.2G,Free,"July 24, 2025"
App_017,FINANCE,3.4,"5,000,000+",8.5M,Free,"February 07, 2024"
App_018,FINANCE,NaN,"10,000+",14M,Free,"December 05, 2024"
App_019,PRODUCTIVITY,3.8,"1,000+",14M,Free,"October 18, 2024"
App_020,TOOLS,NaN,50+,650k,Free,"June 30, 2024"
App_021,GAME,3.7,"1,000,000+",650k,$4.99,"November 02, 2024"
App_022,TOOLS,,"500,000+",Varies with device,$2.49,"March 07, 2024"
App_023,FINANCE,,"500,000+",23M,Free,"June 23, 2025"
App_024,GAME,NaN,"1,000,000+",1.2G,Free,"April 21, 2024"
App_025,EDUCATION,4.1,50+,650k,Free,"October 21, 2024"
App_026,TOOLS,NaN,"1,000,000+",1.2G,$0.99,"December 28, 2024"
App_027,EDUCATION,NaN,"10,000+",1.2G,$4.99,"May 19, 2025"
App_028,PRODUCTIVITY,,"5,000,000+",8.5M,$4.99,"January 02, 2024"
App_029,PRODUCTIVITY,4.3,"1,000+",14M,$2.49,"February 28, 2025"
App_030,PRODUCTIVITY,NaN,"1,000,000+",14M,$0.99,"January 12, 2024"
App_031,FINANCE,3.6,"100,000+",8.5M,Free,"November 03, 2024"
App_032,FINANCE,4.5,50+,1.2G,$0.99,"December 15, 2024"
App_033,PRODUCTIVITY,4.2,"1,000,000+",650k,$4.99,"July 17, 2024"
App_034,GAME,,"500,000+",Varies with device,Free,"May 19, 2024"
App_035,FINANCE,NaN,"1,000,000+",8.5M,Free,"April 18, 2025"
App_036,FINANCE,NaN,"5,000,000+",23M,Free,"August 01, 2025"
App_037,PRODUCTIVITY,4.1,"100,000+",650k,$0.99,"August 14, 2025"
App_038,FINANCE,3.1,"100,000+",Varies with device,$0.99,"February 01, 2024"
App_039,TOOLS,4.1,"500,000+",23M,Free,"February 02, 2025"
App_040,FINANCE,,"10,000+",1.2G,Free,"February 02, 2024"
App_041,FINANCE,4.0,"500,000+",23M,Free,"April 07, 2025"
App_042,GAME,4.1,"5,000,000+",Varies with device,Free,"January 18, 2025"
App_043,TOOLS,,"5,000,000+",14M,Free,"January 26, 2024"
App_044,EDUCATION,,"5,000,000+",23M,$4.99,"June 20, 2025"
App_045,TOOLS,4.5,"500,000+",Varies with device,Free,"May 15, 2024"
App_046,TOOLS,NaN,"10,000+",650k,Free,"April 28, 2024"
App_047,GAME,NaN,"1,000+",Varies with device,Free,"December 07, 2024"
App_048,FINANCE,NaN,"1,000,000+",14M,Free,"January 24, 2024"
App_049,PRODUCTIVITY,,50+,Varies with device,Free,"July 16, 2024"
App_050,GAME,,"500,000+",Varies with device,$4.99,"October 06, 2024"
App_051,TOOLS,NaN,"10,000+",8.5M,$0.99,"June 10, 2025"
App_052,FINANCE,,"1,000+",8.5M,$4.99,"May 24, 2024"
App_053,FINANCE,3.5,"100,000+",Varies with device,$4.99,"December 12, 2024"
App_054,GAME,,50+,23M,Free,"April 18, 2024"
App_055,TOOLS,3.9,"1,000,000+",14M,Free,"April 01, 2025"
App_056,TOOLS,3.7,50+,Varies with device,$0.99,"March 21, 2024"
App_057,EDUCATION,NaN,"5,000,000+",23M,$4.99,"April 09, 2024"
App_058,EDUCATION,,"1,000,000+",Varies with device,Free,"August 25, 2024"
App_059,EDUCATION,,"10,000+",8.5M,$4.99,"July 06, 2024"
App_060,EDUCATION,,"100,000+",650k,$0.99,"May 14, 2025"
App_061,EDUCATION,,"1,000+",14M,$2.49,"June 23, 2024"
App_062,GAME,NaN,"500,000+",Varies with device,$4.99,"February 19, 2025"
App_063,GAME,NaN,"5,000,000+",650k,Free,"November 05, 2024"
App_064,TOOLS,4.2,50+,23M,$2.49,"September 06, 2024"
App_065,PRODUCTIVITY,,50+,8.5M,$2.49,"March 17, 2025"
App_066,PRODUCTIVITY,NaN,"5,000,000+",23M,$4.99,"June 26, 2024"
App_067,TOOLS,NaN,"100,000+",650k,Free,"May 13, 2025"
App_068,GAME,NaN,"1,000+",1.2G,$4.99,"March 31, 2025"
App_069,TOOLS,3.1,"10,000+",Varies with device,$2.49,"January 23, 2025"
App_070,PRODUCTIVITY,4.3,"500,000+",23M,Free,"May 22, 2024"
App_071,PRODUCTIVITY,NaN,50+,650k,Free,"April 08, 2025"
App_072,PRODUCTIVITY,,50+,Varies with device,$2.49,"July 29, 2024"
App_073,FINANCE,NaN,"100,000+",Varies with device,$0.99,"March 21, 2025"
App_074,TOOLS,NaN,"100,000+",Varies with device,Free,"February 17, 2025"
App_075,GAME,NaN,"5,000,000+",8.5M,$0.99,"January 01, 2024"
App_076,GAME,,"100,000+",1.2G,$0.99,"August 28, 2024"
App_077,EDUCATION,,"1,000,000+",650k,$4.99,"February 19, 2025"
App_078,EDUCATION,3.4,"1,000,000+",23M,$4.99,"May 22, 2024"
App_079,EDUCATION,,"10,000+",1.2G,$2.49,"June 06, 2024"
App_080,GAME,3.3,"500,000+",650k,Free,"May 27, 2024"
