Date,Region,Product,UnitsSold,Revenue
2025-02-10,Asia Pacific,Gadget X,266,7363.66
2025-02-24,Middle East,Widget A,200,9243.59
2025-02-15,Latin America,Widget B,90,9644.65
2025-02-11,Middle East,Tool Z,297,6131.11
2025-02-03,North America,Widget B,180,3500.45
2025-02-11,Latin America,Gadget X,141,9120.24
2025-02-13,Asia Pacific,Gadget Y,190,11243.64
2025-02-17,Middle East,Gadget Y,90,2839.9
2025-02-01,Europe,Widget B,133,14112.52
2025-02-23,Latin America,Widget A,112,2586.97
2025-02-04,North America,Widget A,247,8271.66
2025-02-01,Middle East,Tool Z,47,1648.53
2025-02-20,Europe,Widget A,204,4709.62
2025-02-08,Latin America,Gadget X,231,9434.56
2025-02-05,Africa,Widget B,19,623.81
2025-02-12,Asia Pacific,Gadget Y,244,14627.23
2025-02-18,Asia Pacific,Tool Z,232,2113.21
2025-02-23,Africa,Widget B,238,9502.61
2025-02-21,Africa,Gadget Y,273,9632.82
2025-02-18,Asia Pacific,Gadget X,251,8141.06
2025-02-26,North America,Gadget Y,162,5550.17
2025-02-09,Europe,Gadget X,10,101.38
2025-02-27,Europe,Gadget X,151,7091.05
2025-02-01,Latin America,Gadget Y,249,4564.2
2025-02-25,Middle East,Gadget X,123,11971.83
2025-02-18,Asia Pacific,Widget B,215,13244.21
2025-02-14,Middle East,Widget B,88,10752.58
2025-02-21,Middle East,Gadget Y,117,4018.41
2025-02-14,Latin America,Widget B,269,11491.62
2025-02-20,Latin America,Gadget X,150,9762.01
