Date,Region,Product,UnitsSold,Revenue
2025-01-11,Asia Pacific,Widget B,298,4109.23
2025-01-24,Latin America,Widget B,260,11082.97
2025-01-08,Latin America,Widget B,140,3181.0
2025-01-07,Europe,Tool Z,187,2424.33
2025-01-04,North America,Widget A,257,9246.02
2025-01-25,Africa,Widget A,251,5630.83
2025-01-11,Middle East,Tool Z,145,7413.0
2025-01-25,Africa,Gadget X,208,3409.18
2025-01-19,Europe,Widget A,274,12009.12
2025-01-16,Africa,Widget A,262,5274.61
2025-01-28,Latin America,Widget B,239,14649.96
2025-01-23,Africa,Gadget Y,166,10369.24
2025-01-01,Latin America,Widget B,199,8757.02
2025-01-11,Asia Pacific,Tool Z,137,2888.57
2025-01-09,Europe,Gadget X,246,14382.05
2025-01-11,Asia Pacific,Widget B,260,6416.75
2025-01-14,Latin America,Gadget X,191,12829.46
2025-01-09,Middle East,Widget B,297,2053.97
2025-01-19,Latin America,Widget B,56,10840.15
2025-01-26,Europe,Tool Z,226,12859.0
2025-01-07,Europe,Widget B,247,12104.46
2025-01-06,Middle East,Gadget Y,73,14933.87
2025-01-28,Latin America,Tool Z,278,10836.35
2025-01-26,Middle East,Gadget X,133,8475.86
2025-01-19,North America,Gadget Y,55,10389.09
2025-01-02,Europe,Gadget X,248,12600.68
2025-01-04,Middle East,Gadget X,138,5478.33
2025-01-18,Africa,Gadget X,181,395.55
2025-01-04,Asia Pacific,Tool Z,106,8695.12
2025-01-21,Latin America,Tool Z,94,14692.66
