Date,Region,Product,UnitsSold,Revenue
2025-06-15,Africa,Widget A,25,3786.14
2025-06-17,Asia Pacific,Gadget X,255,5961.66
2025-06-06,North America,Gadget X,185,5395.13
2025-06-10,Europe,Tool Z,146,12197.2
2025-06-21,Asia Pacific,Gadget Y,20,14167.64
2025-06-09,Europe,Widget B,179,13467.91
2025-06-22,Europe,Widget A,200,7858.7
2025-06-22,Africa,Widget B,218,3681.38
2025-06-05,Middle East,Gadget X,173,6792.62
2025-06-05,Europe,Widget B,282,10292.32
2025-06-07,Europe,Gadget X,273,13652.48
2025-06-14,Europe,Tool Z,85,4830.69
2025-06-18,Africa,Widget A,99,4832.2
2025-06-05,Latin America,Widget A,168,13213.97
2025-06-14,Middle East,Gadget X,231,11209.58
2025-06-27,Latin America,Gadget X,82,11708.71
2025-06-04,Europe,Widget B,18,11460.47
2025-06-20,Africa,Gadget X,295,9224.19
2025-06-20,Europe,Widget B,18,5452.99
2025-06-23,Middle East,Widget B,262,12707.46
2025-06-16,Latin America,Gadget X,99,12796.73
2025-06-16,Middle East,Widget B,88,2979.57
2025-06-02,Middle East,Widget A,143,14257.95
2025-06-08,Latin America,Widget B,109,1085.43
2025-06-15,Africa,Gadget Y,171,13014.95
2025-06-08,Middle East,Gadget Y,26,9158.16
2025-06-27,Middle East,Gadget X,206,9211.42
2025-06-24,Africa,Tool Z,279,7925.93
2025-06-23,North America,Tool Z,60,6828.98
2025-06-27,North America,Widget B,270,8114.25
