Date,Region,Product,UnitsSold
2025-03-18,Asia Pacific,Gadget Y,101
2025-03-06,Europe,Gadget X,61
2025-03-20,Middle East,Gadget X,256
2025-03-01,Europe,Widget A,278
2025-03-04,Asia Pacific,Gadget X,69
2025-03-24,North America,Widget B,51
2025-03-16,Europe,Gadget X,220
2025-03-26,Middle East,Gadget X,242
2025-03-02,Asia Pacific,Widget A,79
2025-03-25,Middle East,Widget A,283
2025-03-07,Asia Pacific,Gadget Y,11
2025-03-25,Latin America,Widget B,202
2025-03-15,Europe,Widget A,106
2025-03-25,North America,Tool Z,111
2025-03-22,Asia Pacific,Gadget X,86
2025-03-02,Latin America,Tool Z,271
2025-03-16,Latin America,Gadget X,106
2025-03-02,Latin America,Widget B,62
2025-03-14,Asia Pacific,Widget A,90
2025-03-19,North America,Gadget Y,129
2025-03-02,Africa,Gadget Y,84
2025-03-03,Europe,Widget B,260
2025-03-20,Asia Pacific,Widget A,35
2025-03-05,Latin America,Tool Z,59
2025-03-08,Asia Pacific,Tool Z,182
2025-03-15,Latin America,Widget B,15
2025-03-12,Latin America,Widget B,133
2025-03-16,Latin America,Gadget Y,291
2025-03-23,Middle East,Widget B,295
2025-03-12,Asia Pacific,Gadget Y,145
