Date,Region,Product,UnitsSold,Revenue
2025-05-03,North America,Gadget X,183,13208.91
2025-05-14,Middle East,Widget A,121,11240.41
2025-05-28,Africa,Widget A,200,906.51
2025-05-17,North America,Gadget X,281,8517.2
2025-05-11,Africa,Widget B,83,852.75
2025-05-24,Middle East,Gadget Y,299,7620.47
2025-05-08,Middle East,Gadget X,206,2305.38
2025-05-11,North America,Gadget Y,297,11205.19
2025-05-18,Middle East,Gadget X,48,6038.05
2025-05-14,Latin America,Widget B,74,7265.75
2025-05-07,Middle East,Gadget Y,297,3021.88
2025-05-20,Latin America,Tool Z,131,3710.49
2025-05-09,Middle East,Gadget X,299,1434.96
2025-05-22,Middle East,Gadget Y,192,5289.79
2025-05-11,Asia Pacific,Tool Z,17,11568.25
2025-05-06,Asia Pacific,Tool Z,231,9385.41
2025-05-15,North America,Widget B,107,10311.85
2025-05-05,Latin America,Widget A,62,11119.77
2025-05-08,Africa,Widget B,152,304.63
2025-05-23,North America,Gadget X,235,7120.74
2025-05-11,Europe,Tool Z,113,3136.64
2025-05-17,Asia Pacific,Tool Z,252,9383.33
2025-05-05,Latin America,Widget A,197,8786.77
2025-05-22,Africa,Widget A,135,2637.76
2025-05-10,Europe,Tool Z,143,890.97
2025-05-21,North America,Widget A,203,9939.56
2025-05-22,Latin America,Gadget X,60,384.27
2025-05-28,Latin America,Gadget Y,123,14698.91
2025-05-17,Latin America,Widget A,166,7321.47
2025-05-20,Africa,Widget A,100,3063.24
