OrderID,CustomerID,OrderDate,Product,Quantity,UnitPrice,ShipCountry
5000,31,2025-08-03,Gadget Y,11,449.29,Germany
5001,50,2024-05-23,Widget A,9,375.26,Germany
5002,7,2024-04-10,Gadget Y,4,420.94,Germany
5003,51,2024-11-30,Widget A,11,143.92,UAE
5004,63,2024-08-21,Gadget X,9,471.15,UAE
5005,24,2025-08-22,Gadget Y,2,388.35,Germany
5006,32,2024-03-16,Widget A,5,85.56,France
5007,20,2025-02-02,Gadget X,6,62.2,Uzbekistan
5008,40,2025-03-31,Gadget X,13,142.18,USA
5009,12,2024-07-10,Gadget Y,8,282.91,UK
5010,53,2024-04-15,Widget A,2,183.41,Uzbekistan
5011,42,2025-01-29,Widget A,5,212.76,
5012,11,2025-07-26,Widget B,10,265.33,France
5013,49,2024-06-22,Widget B,5,157.54,UAE
5014,19,2024-03-05,Widget B,7,145.21,Germany
5015,62,2024-03-19,Gadget X,5,472.66,France
5016,64,2024-07-19,Gadget Y,2,76.38,Uzbekistan
5017,51,2024-12-06,Tool Z,7,403.99,Germany
5018,57,2024-12-08,Gadget Y,14,413.52,France
5019,18,2024-11-03,Gadget X,10,474.16,USA
5020,62,2024-11-17,Widget B,7,484.67,Germany
5021,63,2025-08-12,Widget B,6,194.26,
5022,51,2025-01-08,Widget A,15,286.28,UK
5023,70,2024-07-03,Tool Z,1,476.96,UAE
5024,27,2025-03-24,Gadget X,14,349.48,
5025,53,2025-05-26,Widget B,11,158.38,Germany
5026,20,2025-03-09,Gadget Y,2,230.03,UK
5027,62,2025-08-19,Gadget Y,9,258.23,
5028,54,2025-07-10,Widget A,13,484.52,France
5029,69,2024-03-28,Widget A,13,131.62,France
5030,46,2024-06-19,Tool Z,1,285.97,France
5031,52,2024-12-05,Gadget Y,2,15.16,Germany
5032,29,2025-06-06,Tool Z,9,294.44,UK
5033,29,2025-04-01,Gadget X,7,236.89,France
5034,65,2024-06-03,Gadget X,1,246.55,Germany
5035,54,2024-03-28,Widget A,14,470.92,USA
5036,45,2024-11-15,Gadget X,8,394.28,UK
5037,62,2024-12-22,Gadget Y,2,224.69,France
5038,58,2024-11-22,Widget A,5,31.88,France
5039,15,2024-01-24,Gadget X,11,63.58,
5040,22,2024-09-06,Tool Z,3,280.43,Germany
5041,55,2025-04-18,Widget B,13,208.46,USA
5042,24,2025-03-18,Gadget Y,1,371.31,USA
5043,58,2025-03-15,Gadget Y,1,355.31,USA
5044,36,2024-03-05,Tool Z,2,401.75,UK
5045,24,2025-01-09,Gadget X,4,234.19,Germany
5046,63,2025-06-24,Gadget X,10,200.42,UAE
5047,15,2024-12-22,Gadget X,14,234.34,USA
5048,39,2024-03-27,Widget B,6,67.74,Germany
5049,15,2024-07-06,Gadget X,12,79.26,UAE
5050,54,2024-05-21,Tool Z,7,217.28,UAE
5051,69,2024-06-26,Tool Z,3,249.91,USA
5052,24,2024-11-18,Gadget Y,10,36.26,Germany
5053,2,2025-05-11,Widget B,4,409.45,UK
5054,65,2025-05-21,Gadget Y,11,250.94,France
5055,57,2025-05-15,Widget B,2,287.03,
5056,29,2024-10-26,Widget A,5,120.16,Germany
5057,22,2025-04-13,Tool Z,12,388.54,UAE
5058,66,2024-04-25,Tool Z,2,141.26,UK
5059,47,2025-07-09,Widget A,13,362.29,UK
5060,28,2025-03-11,Widget A,12,416.72,
5061,32,2024-10-31,Widget A,8,138.77,
5062,12,2025-03-25,Widget A,13,407.82,USA
5063,45,2025-03-14,Widget B,10,78.22,USA
5064,27,2024-03-01,Tool Z,6,270.81,UK
5065,69,2024-06-21,Gadget X,12,153.38,UK
5066,35,2025-06-10,Widget A,3,481.75,
5067,53,2024-03-01,Gadget X,14,331.38,France
5068,17,2024-09-12,Widget B,12,167.82,USA
5069,51,2025-05-16,Widget B,10,319.87,France
5070,54,2025-01-19,Gadget Y,2,320.47,
5071,12,2025-02-16,Tool Z,12,146.32,Germany
5072,59,2025-05-14,Gadget X,10,11.2,
5073,12,2025-04-14,Gadget X,14,41.02,UK
5074,51,2024-08-11,Gadget Y,14,113.8,Germany
5075,42,2024-10-17,Gadget X,9,293.18,UK
5076,63,2024-12-17,Widget A,1,58.78,
5077,59,2024-01-17,Widget A,15,430.24,UAE
5078,59,2024-01-01,Gadget Y,4,497.88,USA
5079,39,2024-06-11,Gadget X,2,330.74,Germany
5080,11,2025-01-15,Widget B,1,204.2,Germany
5081,30,2025-03-15,Widget A,12,56.63,USA
5082,62,2024-03-20,Widget B,10,120.82,France
5083,57,2024-01-10,Widget A,12,178.34,Uzbekistan
5084,55,2024-05-15,Gadget Y,2,122.17,Uzbekistan
5085,14,2024-04-15,Gadget X,6,441.67,USA
5086,49,2024-05-16,Widget B,2,269.94,Uzbekistan
5087,22,2025-03-26,Gadget X,12,114.39,France
5088,20,2025-02-25,Tool Z,11,226.76,USA
5089,12,2024-04-12,Widget B,13,70.34,France
5090,50,2024-12-25,Gadget Y,6,397.62,USA
5091,36,2024-03-27,Widget B,9,304.48,France
5092,37,2024-01-28,Gadget X,4,263.69,UK
5093,25,2025-02-05,Gadget X,11,36.73,
5094,31,2025-05-21,Gadget Y,2,128.12,France
5095,10,2025-06-24,Widget A,6,467.61,USA
5096,50,2025-08-05,Gadget Y,6,277.7,USA
5097,61,2024-03-15,Widget A,10,43.08,Germany
5098,28,2024-02-10,Widget A,13,205.0,Germany
5099,65,2025-03-01,Gadget Y,12,207.11,France
5100,69,2025-07-04,Tool Z,3,145.95,Germany
5101,11,2025-06-07,Widget B,13,86.12,Germany
5102,51,2025-08-23,Widget A,5,352.34,France
5103,31,2024-02-29,Widget B,2,463.06,Uzbekistan
5104,59,2024-02-26,Gadget X,11,373.42,France
