Region,Product,Jan-2025,Feb-2025,Mar-2025,Apr-2025,May-2025,Jun-2025,Jul-2025,Aug-2025,Sep-2025,Oct-2025,Nov-2025,Dec-2025
North America,Widget A,13565,4784,12641,17374,18904,3979,10956,8421,15785,4514,9264,15232
North America,Widget B,8623,5116,3672,2158,10009,13087,14201,8635,5733,11229,19429,10747
North America,Gadget X,6720,5721,16827,17366,15796,16843,10610,16797,1259,3450,13385,17062
North America,Gadget Y,15482,8388,7549,19615,12063,2094,2156,9719,16716,15920,9863,18086
North America,Tool Z,767,4022,14620,4888,9166,12485,13713,12491,1982,13626,2176,19186
Europe,Widget A,18909,6878,12379,18628,9956,2909,13159,17023,15257,18517,9665,4393
Europe,Widget B,4716,3668,13407,12728,11611,18779,12480,5227,7022,17182,13652,16886
Europe,Gadget X,1819,1984,1775,4990,11413,16023,17517,15474,5380,17392,5080,11246
Europe,Gadget Y,10937,5824,13376,10305,19955,11522,17123,17202,17943,16551,18945,10323
Europe,Tool Z,16061,1045,12570,11354,4091,14149,19626,10581,1373,16051,9200,19455
Asia Pacific,Widget A,19427,7956,2182,19620,16243,6087,17678,12958,5342,8436,1534,19261
Asia Pacific,Widget B,4101,6751,1120,14951,10779,14222,5462,14031,7181,13947,16943,15953
Asia Pacific,Gadget X,2540,5024,17496,7294,18879,11151,16175,17718,12847,10781,6174,15562
Asia Pacific,Gadget Y,17969,11717,18400,12109,9162,16365,6800,8577,9642,18787,10281,7868
Asia Pacific,Tool Z,10252,9970,7292,16523,10888,16222,11929,18866,9460,9930,4493,19291
Middle East,Widget A,18299,12941,13428,11809,5299,10017,1878,9925,3089,11849,14995,8903
Middle East,Widget B,16198,7511,7121,18148,9384,18916,9400,4998,4079,19729,8340,8444
Middle East,Gadget X,2163,17901,7894,8129,2220,3783,14043,11323,15979,3794,5004,669
Middle East,Gadget Y,18533,5675,13833,16087,16145,7035,9912,11024,9852,2438,3431,19313
Middle East,Tool Z,8109,18035,1722,6236,14193,6260,1690,13508,16732,6605,9985,1727
Africa,Widget A,803,10277,19110,4016,11478,9824,15388,18302,17680,16684,4897,17022
Africa,Widget B,15836,9440,6818,4191,11335,5824,15537,8930,6601,961,11546,10167
Africa,Gadget X,19105,6829,6250,13787,14514,17384,11245,3342,13634,3625,6554,5107
Africa,Gadget Y,16145,11103,8628,723,9045,13068,8217,15138,9248,11301,10394,19586
Africa,Tool Z,19272,874,9070,12281,8243,2535,4373,15750,10553,5733,13784,16966
Latin America,Widget A,10690,4347,10167,12543,7736,7680,4876,16169,5519,15408,12742,14126
Latin America,Widget B,18497,15928,18113,7656,8608,3182,17719,15139,17807,12354,3059,18986
Latin America,Gadget X,4176,2523,18445,17063,7124,19266,18085,5410,5891,11251,17550,14978
Latin America,Gadget Y,4308,7230,19608,16517,3479,17223,15097,2323,15358,4823,17318,14112
Latin America,Tool Z,15468,18978,2391,18810,15651,10598,1213,13474,8838,598,7640,19450
